[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-18 12:53:58,180 INFO ubc_evict: evicted 5108.2 MB from UBC for ~/mlx-models/North-Mini-Code-1.0-mlx-4bit/model-00001-of-00004.safetensors
2026-09-18 12:53:58,201 INFO ubc_evict: evicted 5118.0 MB from UBC for ~/mlx-models/North-Mini-Code-1.0-mlx-4bit/model-00002-of-00004.safetensors
2026-09-18 12:53:58,228 INFO ubc_evict: evicted 5118.0 MB from UBC for ~/mlx-models/North-Mini-Code-1.0-mlx-4bit/model-00003-of-00004.safetensors
2026-09-18 12:53:58,235 INFO ubc_evict: evicted 1015.2 MB from UBC for ~/mlx-models/North-Mini-Code-1.0-mlx-4bit/model-00004-of-00004.safetensors
2026-09-18 12:53:58,235 INFO ubc_evict: pass complete total_mb=16359.3 elapsed_s=0.08
2026-09-18 12:53:59,087 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 12:53:59,089 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 12:54:00,049 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:54:00,765 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:54:01,497 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:54:03,013 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:54:03,047 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:54:03,154 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:54:03,155 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 12:54:03,155 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 12:54:03,156 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 12:54:03,162 INFO "GET /health HTTP/1.1" 200 -
