[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-18 12:39:23,543 INFO ubc_evict: evicted 4772.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00001-of-00005.safetensors
2026-09-18 12:39:23,563 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00002-of-00005.safetensors
2026-09-18 12:39:23,584 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00003-of-00005.safetensors
2026-09-18 12:39:23,609 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00004-of-00005.safetensors
2026-09-18 12:39:23,616 INFO ubc_evict: evicted 1152.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00005-of-00005.safetensors
2026-09-18 12:39:23,616 INFO ubc_evict: pass complete total_mb=20612.0 elapsed_s=0.09
2026-09-18 12:39:24,216 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 12:39:24,217 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 12:39:24,255 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 12:39:24,256 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 12:39:24,696 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:39:26,012 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:39:27,278 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:39:27,278 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 12:39:27,724 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:39:27,831 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:39:27,885 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:39:27,885 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 12:39:27,886 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 12:39:27,932 INFO "GET /health HTTP/1.1" 200 -
