[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-18 12:39:33,644 INFO ubc_evict: evicted 4772.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00001-of-00005.safetensors
2026-09-18 12:39:33,664 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00002-of-00005.safetensors
2026-09-18 12:39:33,684 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00003-of-00005.safetensors
2026-09-18 12:39:33,707 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00004-of-00005.safetensors
2026-09-18 12:39:33,714 INFO ubc_evict: evicted 1152.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00005-of-00005.safetensors
2026-09-18 12:39:33,714 INFO ubc_evict: pass complete total_mb=20612.0 elapsed_s=0.09
2026-09-18 12:39:34,301 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 12:39:34,302 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 12:39:34,338 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 12:39:34,339 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 12:39:34,624 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:39:35,917 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:39:37,193 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:39:37,194 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 12:39:37,637 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:39:37,703 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:39:37,773 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 12:39:37,774 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 12:39:37,775 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 12:39:37,790 INFO "GET /health HTTP/1.1" 200 -
