[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-16 04:00:55,061 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 04:00:56,031 INFO ubc_evict: evicted 5090.2 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00001-of-00004.safetensors
2026-09-16 04:00:56,072 INFO ubc_evict: evicted 5117.7 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00002-of-00004.safetensors
2026-09-16 04:00:56,112 INFO ubc_evict: evicted 5111.0 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00003-of-00004.safetensors
2026-09-16 04:00:56,125 INFO ubc_evict: evicted 5040.1 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00004-of-00004.safetensors
2026-09-16 04:00:56,125 INFO ubc_evict: pass complete total_mb=20359.0 elapsed_s=0.13
[transformers] You are using a model of type `muse_glimmer` to instantiate a model of type ``. This may be expected if you are loading a checkpoint that shares a subset of the architecture (e.g., loading a `sam2_video` checkpoint into `Sam2Model`), but is otherwise not supported and can yield errors. Please verify that the checkpoint is compatible with the model you are instantiating.
2026-09-16 04:00:56,244 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 04:00:57,833 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 04:00:57,850 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 04:00:57,912 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 04:00:57,972 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 04:01:07,966 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:08,313 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:08,518 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:08,596 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:09,132 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:09,418 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:09,647 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:09,725 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:09,801 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:11,631 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:12,469 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:14,261 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:14,339 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:16,246 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:17,973 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:31,672 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:31,727 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:31,784 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:31,784 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:33,643 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:35,644 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:39,032 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:01:39,032 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 04:03:42,851 INFO "POST /v1/chat/completions HTTP/1.1" 503 -
