[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-15 23:48:38,828 INFO "GET /health HTTP/1.1" 503 -
2026-09-15 23:48:39,850 INFO "GET /health HTTP/1.1" 503 -
2026-09-15 23:48:40,229 INFO ubc_evict: evicted 5090.2 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00001-of-00004.safetensors
2026-09-15 23:48:40,270 INFO ubc_evict: evicted 5117.7 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00002-of-00004.safetensors
2026-09-15 23:48:40,310 INFO ubc_evict: evicted 5111.0 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00003-of-00004.safetensors
2026-09-15 23:48:40,324 INFO ubc_evict: evicted 5040.1 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00004-of-00004.safetensors
2026-09-15 23:48:40,324 INFO ubc_evict: pass complete total_mb=20359.0 elapsed_s=0.13
[transformers] You are using a model of type `muse_glimmer` to instantiate a model of type ``. This may be expected if you are loading a checkpoint that shares a subset of the architecture (e.g., loading a `sam2_video` checkpoint into `Sam2Model`), but is otherwise not supported and can yield errors. Please verify that the checkpoint is compatible with the model you are instantiating.
2026-09-15 23:48:41,017 INFO "GET /health HTTP/1.1" 503 -
2026-09-15 23:48:42,042 INFO "GET /health HTTP/1.1" 200 -
2026-09-15 23:48:42,050 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 23:48:42,116 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 23:48:42,179 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 23:48:52,779 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:48:53,199 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:48:53,515 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:48:53,599 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:48:55,963 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:48:58,024 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:48:58,025 INFO "GET /v1/status HTTP/1.1" 200 -
