[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-16 00:54:02,686 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 00:54:03,688 INFO ubc_evict: evicted 5090.2 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00001-of-00004.safetensors
2026-09-16 00:54:03,709 INFO ubc_evict: evicted 5117.7 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00002-of-00004.safetensors
2026-09-16 00:54:03,736 INFO ubc_evict: evicted 5111.0 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00003-of-00004.safetensors
2026-09-16 00:54:03,752 INFO ubc_evict: evicted 5040.1 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00004-of-00004.safetensors
2026-09-16 00:54:03,752 INFO ubc_evict: pass complete total_mb=20359.0 elapsed_s=0.08
[transformers] You are using a model of type `muse_glimmer` to instantiate a model of type ``. This may be expected if you are loading a checkpoint that shares a subset of the architecture (e.g., loading a `sam2_video` checkpoint into `Sam2Model`), but is otherwise not supported and can yield errors. Please verify that the checkpoint is compatible with the model you are instantiating.
2026-09-16 00:54:04,181 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 00:54:05,518 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 00:54:05,581 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 00:54:09,388 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 00:54:09,390 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 00:54:22,361 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 00:54:22,425 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 00:54:22,425 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 00:54:22,425 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 00:54:22,426 INFO "GET /v1/status HTTP/1.1" 200 -
