[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-15 22:35:46,277 INFO ubc_evict: evicted 4784.0 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00001-of-00004.safetensors
2026-09-15 22:35:46,297 INFO ubc_evict: evicted 4785.1 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00002-of-00004.safetensors
2026-09-15 22:35:46,316 INFO ubc_evict: evicted 4769.9 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00003-of-00004.safetensors
2026-09-15 22:35:46,326 INFO ubc_evict: evicted 1846.3 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00004-of-00004.safetensors
2026-09-15 22:35:46,326 INFO ubc_evict: pass complete total_mb=16185.5 elapsed_s=0.07
2026-09-15 22:35:50,261 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:36:03,228 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:36:13,308 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:13,620 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:13,859 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:13,909 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:14,685 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:15,171 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:15,414 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:15,554 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:15,603 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:16,510 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:17,190 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:17,798 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:17,892 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:19,274 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:20,549 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:28,506 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:28,506 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:28,506 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:28,506 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:29,860 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:31,240 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:33,391 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:33,391 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:36:39,065 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:37:13,082 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:37:40,881 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:37:54,859 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:38:46,945 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:39:07,429 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:39:47,374 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:40:18,983 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:40:45,598 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:41:33,859 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:41:48,104 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:42:42,548 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:42:46,776 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:43:44,239 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:43:54,851 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:44:44,787 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:45:04,885 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:45:50,171 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:46:17,169 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:46:47,300 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:47:32,315 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:47:44,311 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:48:41,561 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:48:42,786 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:49:39,622 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:49:52,574 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:50:37,152 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:51:02,081 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:51:30,225 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:51:43,066 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:51:43,397 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:51:56,393 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 22:52:10,974 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:52:26,083 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:53:20,414 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:53:41,998 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:54:23,400 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:54:55,400 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:55:20,705 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:56:08,150 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:56:32,105 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 22:57:16,054 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
