[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-15 21:06:43,091 INFO ubc_evict: evicted 4784.0 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00001-of-00004.safetensors
2026-09-15 21:06:43,128 INFO ubc_evict: evicted 4785.1 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00002-of-00004.safetensors
2026-09-15 21:06:43,164 INFO ubc_evict: evicted 4769.9 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00003-of-00004.safetensors
2026-09-15 21:06:43,180 INFO ubc_evict: evicted 1846.3 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00004-of-00004.safetensors
2026-09-15 21:06:43,180 INFO ubc_evict: pass complete total_mb=16185.5 elapsed_s=0.12
2026-09-15 21:07:57,835 INFO "GET /v1/models HTTP/1.1" 200 -
2026-09-15 21:08:04,532 INFO "GET /status HTTP/1.1" 404 -
2026-09-15 21:08:20,111 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:08:20,160 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:08:29,899 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:30,308 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:30,637 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:30,730 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:31,721 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:32,381 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:32,694 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:32,942 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:33,034 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:34,426 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:35,669 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:36,736 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:36,924 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:39,153 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:41,299 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:48,067 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:48,067 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:48,154 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:48,154 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:50,374 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:52,590 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:54,819 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:08:54,819 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:09:04,892 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:09:48,208 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:10:43,018 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:11:02,879 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:11:25,386 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:12:05,965 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:12:48,904 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:13:32,746 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:14:17,340 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:14:43,573 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:15:00,509 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:15:45,496 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:16:33,836 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:17:21,763 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:17:55,711 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:18:08,504 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:18:55,637 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:19:10,502 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:19:40,607 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:20:23,557 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:20:24,960 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:21:07,217 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:21:24,360 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:21:48,137 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:22:28,547 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:22:38,177 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:23:07,779 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:23:10,140 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:23:18,147 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:24:00,884 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:24:02,758 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:24:51,778 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:25:28,859 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:25:35,684 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:26:15,409 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:26:32,361 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:26:39,044 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:26:42,441 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:26:42,491 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
[transformers] Token indices sequence length is longer than the specified maximum sequence length for this model (262156 > 262144). Running this sequence through the model will result in indexing errors
2026-09-15 21:26:42,776 INFO "POST /v1/chat/completions HTTP/1.1" 400 -
2026-09-15 21:26:42,781 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:26:43,051 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:26:43,052 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:26:43,263 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:26:43,597 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:26:43,598 INFO "GET /health HTTP/1.1" 200 -
2026-09-15 21:26:43,599 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:26:57,138 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:27:14,698 INFO "GET /v1/status HTTP/1.1" 200 -
