[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-15 23:25:41,903 INFO ubc_evict: evicted 4784.0 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00001-of-00004.safetensors
2026-09-15 23:25:41,941 INFO ubc_evict: evicted 4785.1 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00002-of-00004.safetensors
2026-09-15 23:25:41,980 INFO ubc_evict: evicted 4769.9 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00003-of-00004.safetensors
2026-09-15 23:25:41,998 INFO ubc_evict: evicted 1846.3 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00004-of-00004.safetensors
2026-09-15 23:25:41,998 INFO ubc_evict: pass complete total_mb=16185.5 elapsed_s=0.12
2026-09-15 23:25:48,407 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 23:25:55,167 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 23:26:05,606 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:06,011 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:06,336 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:06,428 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:07,412 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:08,065 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:08,371 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:08,614 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:08,706 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:10,090 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:11,320 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:12,382 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:12,569 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:14,793 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:16,936 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:23,760 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:23,761 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:23,846 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:23,848 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:26,051 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:28,250 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:30,467 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:30,467 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 23:26:40,744 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 23:27:44,212 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 23:28:41,290 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 23:29:37,824 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 23:30:36,534 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 23:31:35,451 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 23:32:31,530 INFO "GET /v1/status HTTP/1.1" 200 -
