[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-15 21:47:01,384 INFO ubc_evict: evicted 4784.0 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00001-of-00004.safetensors
2026-09-15 21:47:01,423 INFO ubc_evict: evicted 4785.1 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00002-of-00004.safetensors
2026-09-15 21:47:01,461 INFO ubc_evict: evicted 4769.9 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00003-of-00004.safetensors
2026-09-15 21:47:01,476 INFO ubc_evict: evicted 1846.3 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00004-of-00004.safetensors
2026-09-15 21:47:01,476 INFO ubc_evict: pass complete total_mb=16185.5 elapsed_s=0.11
2026-09-15 21:47:47,226 INFO "GET /v1/models HTTP/1.1" 200 -
2026-09-15 21:47:58,615 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:47:58,663 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-15 21:48:08,759 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:48:09,163 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:48:09,488 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:48:09,580 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:48:10,561 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:48:11,213 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:48:11,515 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:48:11,759 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:48:11,851 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:48:13,236 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:48:14,467 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:48:15,529 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:48:15,716 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:48:17,943 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:48:20,095 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-15 21:48:26,991 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
