== off: correct 16/16 tokens 2257 answered 16 wall 8s
   OK  tok=  172 think=167 trip=None steered=None want=10 | '10'
   OK  tok=   77 think=72 trip=None steered=None want=25 | '25'
   OK  tok=   87 think=82 trip=None steered=None want=2 | '2'
   OK  tok=  143 think=138 trip=None steered=None want=2 | '2'
   OK  tok=  194 think=189 trip=None steered=None want=24 | '24'
   OK  tok=   84 think=79 trip=None steered=None want=100 | '100'
   OK  tok=   97 think=92 trip=None steered=None want=48 | '48'
   OK  tok=  128 think=123 trip=None steered=None want=43 | '43'
   OK  tok=   67 think=62 trip=None steered=None want=144 | '144'
   OK  tok=  115 think=110 trip=None steered=None want=12 | '12'
   OK  tok=  174 think=167 trip=None steered=None want=7.5 | '7.5'
   OK  tok=  196 think=191 trip=None steered=None want=728 | '728'
   OK  tok=  150 think=145 trip=None steered=None want=10 | '10'
   OK  tok=  228 think=222 trip=None steered=None want=2520 | '2520'
   OK  tok=  134 think=110 trip=None steered=None want=def is_palindrome | 'def is_palindrome(s):\n    s = s.lower()\n'
   OK  tok=  211 think=206 trip=None steered=None want=204 | '204'
== guard_only: correct 16/16 tokens 2353 answered 16 wall 7s
   OK  tok=  190 think=183 trip=None steered=None want=10 | '10.0'
   OK  tok=   77 think=72 trip=None steered=None want=25 | '25'
   OK  tok=   87 think=82 trip=None steered=None want=2 | '2'
   OK  tok=  146 think=141 trip=None steered=None want=2 | '2'
   OK  tok=  194 think=189 trip=None steered=None want=24 | '24'
   OK  tok=   84 think=79 trip=None steered=None want=100 | '100'
   OK  tok=   97 think=92 trip=None steered=None want=48 | '48'
   OK  tok=  131 think=126 trip=None steered=None want=43 | '43'
   OK  tok=   67 think=62 trip=None steered=None want=144 | '144'
   OK  tok=  112 think=107 trip=None steered=None want=12 | '12'
   OK  tok=  228 think=221 trip=None steered=None want=7.5 | '7.5'
   OK  tok=  217 think=212 trip=None steered=None want=728 | '728'
   OK  tok=  150 think=145 trip=None steered=None want=10 | '10'
   OK  tok=  228 think=222 trip=None steered=None want=2520 | '2520'
   OK  tok=  134 think=110 trip=None steered=None want=def is_palindrome | 'def is_palindrome(s):\n    s = s.lower()\n'
   OK  tok=  211 think=206 trip=None steered=None want=204 | '204'
== alpha_0.2: correct 16/16 tokens 1881 answered 16 wall 6s
   OK  tok=   60 think=55 trip=None steered=56 want=10 | '10'
   OK  tok=   66 think=61 trip=None steered=62 want=25 | '25'
   OK  tok=  105 think=100 trip=None steered=101 want=2 | '2'
   OK  tok=  126 think=121 trip=None steered=122 want=2 | '2'
   OK  tok=  169 think=164 trip=None steered=165 want=24 | '24'
   OK  tok=   81 think=76 trip=None steered=77 want=100 | '100'
   OK  tok=  143 think=138 trip=None steered=139 want=48 | '48'
   OK  tok=  136 think=131 trip=None steered=132 want=43 | '43'
   OK  tok=   63 think=58 trip=None steered=59 want=144 | '144'
   OK  tok=   77 think=72 trip=None steered=73 want=12 | '12'
   OK  tok=  150 think=143 trip=None steered=144 want=7.5 | '7.5'
   OK  tok=  244 think=239 trip=None steered=240 want=728 | '728'
   OK  tok=  123 think=118 trip=None steered=119 want=10 | '10'
   OK  tok=   56 think=50 trip=None steered=51 want=2520 | '2520'
   OK  tok=   87 think=63 trip=None steered=64 want=def is_palindrome | 'def is_palindrome(s):\n    s = s.lower()\n'
   OK  tok=  195 think=190 trip=None steered=191 want=204 | '204'
== alpha_0.4: correct 16/16 tokens 1580 answered 16 wall 5s
   OK  tok=   66 think=61 trip=None steered=62 want=10 | '10'
   OK  tok=   62 think=57 trip=None steered=58 want=25 | '25'
   OK  tok=  104 think=99 trip=None steered=100 want=2 | '2'
   OK  tok=  131 think=126 trip=None steered=127 want=2 | '2'
   OK  tok=   38 think=33 trip=None steered=34 want=24 | '24'
   OK  tok=   83 think=78 trip=None steered=79 want=100 | '100'
   OK  tok=   95 think=90 trip=None steered=91 want=48 | '48'
   OK  tok=   62 think=57 trip=None steered=58 want=43 | '43'
   OK  tok=   57 think=52 trip=None steered=53 want=144 | '144'
   OK  tok=   76 think=71 trip=None steered=72 want=12 | '12'
   OK  tok=  146 think=139 trip=None steered=140 want=7.5 | '7.5'
   OK  tok=  175 think=170 trip=None steered=171 want=728 | '728'
   OK  tok=  136 think=131 trip=None steered=132 want=10 | '10'
   OK  tok=  211 think=205 trip=None steered=206 want=2520 | '2520'
   OK  tok=   41 think=8 trip=None steered=9 want=def is_palindrome | '```python\ndef is_palindrome(s: str) -> b'
   OK  tok=   97 think=92 trip=None steered=93 want=204 | '204'
