[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-16 18:17:47,944 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 18:17:48,950 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 18:17:49,604 INFO ubc_evict: evicted 4772.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00001-of-00005.safetensors
2026-09-16 18:17:49,643 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00002-of-00005.safetensors
2026-09-16 18:17:49,682 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00003-of-00005.safetensors
2026-09-16 18:17:49,720 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00004-of-00005.safetensors
2026-09-16 18:17:49,730 INFO ubc_evict: evicted 1152.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00005-of-00005.safetensors
2026-09-16 18:17:49,730 INFO ubc_evict: pass complete total_mb=20612.0 elapsed_s=0.16
2026-09-16 18:17:50,052 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 18:17:51,070 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 18:17:51,092 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 18:17:51,136 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 18:17:51,528 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:17:51,663 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:17:51,769 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:17:51,792 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:17:52,138 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:17:52,368 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:17:52,482 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:17:52,557 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:17:57,676 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:17:57,698 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:17:58,074 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:17:58,370 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:18:03,855 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:18:11,507 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:18:11,566 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:18:12,535 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:18:13,383 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:18:18,022 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:18:18,022 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:18:18,022 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:18:18,022 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:18:18,915 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:18:19,664 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:18:20,870 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:18:20,935 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:23:01,920 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:23:06,665 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:24:34,984 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:24:40,498 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:24:40,532 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
[transformers] Token indices sequence length is longer than the specified maximum sequence length for this model (262156 > 262144). Running this sequence through the model will result in indexing errors
2026-09-16 18:24:40,769 INFO "POST /v1/chat/completions HTTP/1.1" 400 -
2026-09-16 18:24:40,778 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 18:24:41,276 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:24:41,278 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 18:24:41,493 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 18:24:41,717 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:24:41,718 INFO "GET /health HTTP/1.1" 200 -
2026-09-16 18:24:41,719 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 18:24:41,903 INFO "GET /v1/status HTTP/1.1" 200 -
