[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-17 09:44:59,111 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-17 09:45:00,117 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-17 09:45:00,442 INFO ubc_evict: evicted 4772.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00001-of-00005.safetensors
2026-09-17 09:45:00,481 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00002-of-00005.safetensors
2026-09-17 09:45:00,520 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00003-of-00005.safetensors
2026-09-17 09:45:00,559 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00004-of-00005.safetensors
2026-09-17 09:45:00,569 INFO ubc_evict: evicted 1152.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00005-of-00005.safetensors
2026-09-17 09:45:00,569 INFO ubc_evict: pass complete total_mb=20612.0 elapsed_s=0.16
2026-09-17 09:45:01,123 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-17 09:45:01,153 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-17 09:45:01,870 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:45:02,446 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:45:03,009 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:45:03,585 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:45:04,153 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:45:04,728 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:45:05,301 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:45:05,895 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:45:06,474 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:45:07,049 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:45:07,624 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
