[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-17 09:39:33,460 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-17 09:39:34,466 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-17 09:39:35,002 INFO ubc_evict: evicted 5070.2 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-Abliterated-Heretic-MLX-4bit/model-00001-of-00005.safetensors
2026-09-17 09:39:35,043 INFO ubc_evict: evicted 5098.4 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-Abliterated-Heretic-MLX-4bit/model-00002-of-00005.safetensors
2026-09-17 09:39:35,084 INFO ubc_evict: evicted 5097.1 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-Abliterated-Heretic-MLX-4bit/model-00003-of-00005.safetensors
2026-09-17 09:39:35,124 INFO ubc_evict: evicted 5036.3 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-Abliterated-Heretic-MLX-4bit/model-00004-of-00005.safetensors
2026-09-17 09:39:35,145 INFO ubc_evict: evicted 2311.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-Abliterated-Heretic-MLX-4bit/model-00005-of-00005.safetensors
2026-09-17 09:39:35,145 INFO ubc_evict: evicted 851.8 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-Abliterated-Heretic-MLX-4bit/model-vision-00001-of-00001.safetensors
2026-09-17 09:39:35,145 INFO ubc_evict: pass complete total_mb=23464.8 elapsed_s=0.18
2026-09-17 09:39:35,673 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-17 09:39:36,677 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-17 09:39:36,715 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-17 09:39:37,465 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:39:38,070 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:39:38,661 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:39:39,255 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:39:39,847 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:39:40,445 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:39:41,037 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:39:41,638 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:39:42,239 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:39:42,836 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:39:43,437 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-17 09:39:44,033 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
