[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-16 18:51:26,243 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 18:51:27,249 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 18:51:27,553 INFO ubc_evict: evicted 4772.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00001-of-00005.safetensors
2026-09-16 18:51:27,591 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00002-of-00005.safetensors
2026-09-16 18:51:27,628 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00003-of-00005.safetensors
2026-09-16 18:51:27,666 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00004-of-00005.safetensors
2026-09-16 18:51:27,675 INFO ubc_evict: evicted 1152.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00005-of-00005.safetensors
2026-09-16 18:51:27,675 INFO ubc_evict: pass complete total_mb=20612.0 elapsed_s=0.15
2026-09-16 18:51:28,251 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 18:51:28,262 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 18:51:28,299 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 18:51:28,525 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 18:51:28,651 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 18:51:28,781 INFO "GET /v1/status HTTP/1.1" 200 -
