[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-16 19:38:22,798 INFO ubc_evict: evicted 4772.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00001-of-00005.safetensors
2026-09-16 19:38:22,835 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00002-of-00005.safetensors
2026-09-16 19:38:22,871 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00003-of-00005.safetensors
2026-09-16 19:38:22,908 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00004-of-00005.safetensors
2026-09-16 19:38:22,916 INFO ubc_evict: evicted 1152.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00005-of-00005.safetensors
2026-09-16 19:38:22,917 INFO ubc_evict: pass complete total_mb=20612.0 elapsed_s=0.15
2026-09-16 19:38:26,194 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 19:38:34,753 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 19:38:35,245 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:35,381 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:35,491 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:35,515 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:35,882 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:36,145 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:36,273 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:36,361 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:41,522 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:41,548 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:41,934 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:42,236 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:47,183 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:47,248 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:48,231 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:49,097 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:52,983 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:52,983 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:52,983 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:52,983 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:53,792 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:54,503 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:55,478 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:55,537 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:55,538 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 19:38:55,642 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:55,645 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 19:38:55,857 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 19:38:55,948 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:38:55,949 INFO "GET /health HTTP/1.1" 200 -
2026-09-16 19:38:55,950 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 19:39:00,189 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-16 19:39:00,207 INFO "GET /v1/status/batching HTTP/1.1" 200 -
2026-09-16 19:39:02,064 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:39:02,064 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:39:02,064 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:39:02,064 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-16 19:39:02,066 INFO "GET /v1/status/batching HTTP/1.1" 200 -
2026-09-16 19:39:02,346 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
