[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-18 14:39:15,586 INFO "GET /health HTTP/1.1" 503 -
2026-09-18 14:39:18,588 INFO "GET /health HTTP/1.1" 503 -
2026-09-18 14:39:19,003 INFO ubc_evict: evicted 5025.7 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00001-of-00020.safetensors
2026-09-18 14:39:19,003 INFO ubc_evict: evicted 5006.8 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00002-of-00020.safetensors
2026-09-18 14:39:19,004 INFO ubc_evict: evicted 5006.8 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00003-of-00020.safetensors
2026-09-18 14:39:19,004 INFO ubc_evict: evicted 5006.8 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00004-of-00020.safetensors
2026-09-18 14:39:19,004 INFO ubc_evict: evicted 5006.8 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00005-of-00020.safetensors
2026-09-18 14:39:19,004 INFO ubc_evict: evicted 5006.8 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00006-of-00020.safetensors
2026-09-18 14:39:19,019 INFO ubc_evict: evicted 5022.3 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00007-of-00020.safetensors
2026-09-18 14:39:19,052 INFO ubc_evict: evicted 5076.7 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00008-of-00020.safetensors
2026-09-18 14:39:19,087 INFO ubc_evict: evicted 5115.4 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00009-of-00020.safetensors
2026-09-18 14:39:19,125 INFO ubc_evict: evicted 5115.4 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00010-of-00020.safetensors
2026-09-18 14:39:19,162 INFO ubc_evict: evicted 5073.2 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00011-of-00020.safetensors
2026-09-18 14:39:19,195 INFO ubc_evict: evicted 5115.4 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00012-of-00020.safetensors
2026-09-18 14:39:19,227 INFO ubc_evict: evicted 5115.4 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00013-of-00020.safetensors
2026-09-18 14:39:19,241 INFO ubc_evict: evicted 5073.2 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00014-of-00020.safetensors
2026-09-18 14:39:19,244 INFO ubc_evict: evicted 5115.4 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00015-of-00020.safetensors
2026-09-18 14:39:19,249 INFO ubc_evict: evicted 5115.4 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00016-of-00020.safetensors
2026-09-18 14:39:19,253 INFO ubc_evict: evicted 5073.2 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00017-of-00020.safetensors
2026-09-18 14:39:19,257 INFO ubc_evict: evicted 5115.4 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00018-of-00020.safetensors
2026-09-18 14:39:19,262 INFO ubc_evict: evicted 5115.4 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00019-of-00020.safetensors
2026-09-18 14:39:19,262 INFO ubc_evict: evicted 1704.3 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-00020-of-00020.safetensors
2026-09-18 14:39:19,262 INFO ubc_evict: evicted 1399.3 MB from UBC for ~/mlx-models/Qwen3.8-Flash-Next-MLX-4bit-MTP/model-mtp-q4.safetensors
2026-09-18 14:39:19,262 INFO ubc_evict: pass complete total_mb=99405.2 elapsed_s=0.28
[transformers] You are using a model of type `qwen4_exp` to instantiate a model of type ``. This may be expected if you are loading a checkpoint that shares a subset of the architecture (e.g., loading a `sam2_video` checkpoint into `Sam2Model`), but is otherwise not supported and can yield errors. Please verify that the checkpoint is compatible with the model you are instantiating.
2026-09-18 14:39:21,593 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 14:39:21,594 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 14:39:21,672 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 14:39:25,634 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:25,634 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:25,634 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:25,634 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:25,641 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:26,738 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:27,397 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:29,224 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:31,136 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:31,739 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:32,034 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:32,144 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:32,254 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:32,726 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:33,388 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:33,577 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:35,212 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:35,346 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:35,508 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:36,092 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:39:36,653 WARNING Async QSA promotion declined at queue: suffix-only promotion requires equal starting QSA offsets
