[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-18 15:08:53,844 INFO ubc_evict: evicted 5090.2 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00001-of-00004.safetensors
2026-09-18 15:08:53,866 INFO ubc_evict: evicted 5117.7 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00002-of-00004.safetensors
2026-09-18 15:08:53,891 INFO ubc_evict: evicted 5111.0 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00003-of-00004.safetensors
2026-09-18 15:08:53,903 INFO ubc_evict: evicted 5040.1 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00004-of-00004.safetensors
2026-09-18 15:08:53,903 INFO ubc_evict: pass complete total_mb=20359.0 elapsed_s=0.08
[transformers] You are using a model of type `muse_glimmer` to instantiate a model of type ``. This may be expected if you are loading a checkpoint that shares a subset of the architecture (e.g., loading a `sam2_video` checkpoint into `Sam2Model`), but is otherwise not supported and can yield errors. Please verify that the checkpoint is compatible with the model you are instantiating.
2026-09-18 15:08:54,770 INFO "GET /health HTTP/1.1" 503 -
2026-09-18 15:08:57,775 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 15:08:57,777 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 15:08:57,840 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 15:08:59,117 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:08:59,347 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:00,776 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:03,058 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:03,391 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:04,419 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:04,998 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:06,506 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:06,722 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:07,823 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:08,610 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:10,238 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:10,598 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:10,670 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:11,054 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:12,168 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:14,067 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:14,238 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:14,431 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:15,033 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:17,266 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:17,543 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:19,597 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:20,294 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:21,602 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:21,938 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:22,261 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:22,585 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:22,586 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:22,586 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:22,910 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:25,898 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:26,824 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:28,675 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:29,657 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:31,179 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:31,366 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:31,639 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:32,525 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:32,877 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:33,381 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:34,146 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:34,437 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:35,367 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:37,428 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:38,071 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:40,949 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:41,670 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:41,747 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:42,060 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:42,716 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:44,121 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:45,747 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:48,124 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:49,531 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:50,339 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:50,638 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:51,314 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:51,934 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:52,222 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:52,753 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:53,444 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:54,078 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:54,321 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:54,321 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:57,293 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:57,992 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:09:58,291 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:01,365 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:02,743 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:03,157 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:03,161 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:06,526 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:06,526 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:10,212 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:10,212 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:10,369 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:10,777 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:11,617 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:11,758 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:12,821 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:12,821 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:13,074 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:13,767 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:18,809 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:20,223 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:20,223 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:20,422 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:20,422 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:21,532 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:22,989 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:23,072 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:24,340 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:24,556 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:26,130 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:29,133 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:29,416 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:29,540 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:30,190 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:30,338 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:30,857 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:30,857 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:33,549 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:35,867 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:35,867 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:36,267 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:37,412 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:38,664 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:39,238 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:40,055 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:41,539 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:41,956 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:44,985 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:44,985 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:47,048 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:47,802 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:49,201 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:49,204 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:49,438 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:50,405 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:51,753 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:53,125 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:53,765 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:54,030 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:56,341 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:58,342 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:58,343 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:59,527 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:10:59,527 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:11:00,253 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:11:00,963 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:11:02,697 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:11:04,351 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:11:04,487 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:11:08,324 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:11:09,462 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:11:09,675 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:11:10,140 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:11:11,162 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:11:11,257 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:11:14,351 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:11:14,874 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 15:11:15,493 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
