[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-18 14:20:13,705 INFO ubc_evict: evicted 5090.2 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00001-of-00004.safetensors
2026-09-18 14:20:13,747 INFO ubc_evict: evicted 5117.7 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00002-of-00004.safetensors
2026-09-18 14:20:13,789 INFO ubc_evict: evicted 5111.0 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00003-of-00004.safetensors
2026-09-18 14:20:13,804 INFO ubc_evict: evicted 5040.1 MB from UBC for ~/mlx-models/Muse-Glimmer-30B-mlx-4bit/model-00004-of-00004.safetensors
2026-09-18 14:20:13,804 INFO ubc_evict: pass complete total_mb=20359.0 elapsed_s=0.14
[transformers] You are using a model of type `muse_glimmer` to instantiate a model of type ``. This may be expected if you are loading a checkpoint that shares a subset of the architecture (e.g., loading a `sam2_video` checkpoint into `Sam2Model`), but is otherwise not supported and can yield errors. Please verify that the checkpoint is compatible with the model you are instantiating.
2026-09-18 14:20:14,569 INFO "GET /health HTTP/1.1" 503 -
2026-09-18 14:20:17,580 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 14:20:17,581 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 14:20:17,623 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 14:20:19,020 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:20:19,604 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:20:19,604 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:20:19,966 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:20:20,104 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:20:20,351 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:20:22,910 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:20:24,689 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:20:27,101 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:20:27,856 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
