[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-18 14:53:22,204 INFO ubc_evict: evicted 5108.2 MB from UBC for ~/mlx-models/North-Mini-Code-1.0-mlx-4bit/model-00001-of-00004.safetensors
2026-09-18 14:53:22,225 INFO ubc_evict: evicted 5118.0 MB from UBC for ~/mlx-models/North-Mini-Code-1.0-mlx-4bit/model-00002-of-00004.safetensors
2026-09-18 14:53:22,252 INFO ubc_evict: evicted 5118.0 MB from UBC for ~/mlx-models/North-Mini-Code-1.0-mlx-4bit/model-00003-of-00004.safetensors
2026-09-18 14:53:22,258 INFO ubc_evict: evicted 1015.2 MB from UBC for ~/mlx-models/North-Mini-Code-1.0-mlx-4bit/model-00004-of-00004.safetensors
2026-09-18 14:53:22,258 INFO ubc_evict: pass complete total_mb=16359.3 elapsed_s=0.08
2026-09-18 14:53:23,178 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 14:53:23,179 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 14:53:23,224 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 14:53:24,648 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:24,648 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:24,975 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:25,522 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:26,743 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:26,874 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:27,087 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:27,386 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:27,643 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:27,763 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:27,827 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:27,957 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:28,023 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:28,165 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:28,241 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:29,162 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:29,561 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:29,798 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:30,136 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:30,236 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:30,622 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:30,681 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:30,795 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:30,964 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:31,788 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:53:32,000 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
