[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-18 14:55:24,163 INFO ubc_evict: evicted 5108.2 MB from UBC for ~/mlx-models/North-Mini-Code-1.0-mlx-4bit/model-00001-of-00004.safetensors
2026-09-18 14:55:24,185 INFO ubc_evict: evicted 5118.0 MB from UBC for ~/mlx-models/North-Mini-Code-1.0-mlx-4bit/model-00002-of-00004.safetensors
2026-09-18 14:55:24,213 INFO ubc_evict: evicted 5118.0 MB from UBC for ~/mlx-models/North-Mini-Code-1.0-mlx-4bit/model-00003-of-00004.safetensors
2026-09-18 14:55:24,220 INFO ubc_evict: evicted 1015.2 MB from UBC for ~/mlx-models/North-Mini-Code-1.0-mlx-4bit/model-00004-of-00004.safetensors
2026-09-18 14:55:24,220 INFO ubc_evict: pass complete total_mb=16359.3 elapsed_s=0.08
2026-09-18 14:55:25,068 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 14:55:25,070 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 14:55:25,110 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 14:55:28,595 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:28,993 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:28,993 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:28,997 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:29,186 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:29,837 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:29,992 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:29,993 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:30,326 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:31,070 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:31,073 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:31,722 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:32,036 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:32,476 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:34,385 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:36,321 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:36,503 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:37,602 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:37,863 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:38,364 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:39,675 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:40,056 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:40,056 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:40,056 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:40,242 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:40,246 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:40,843 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:40,843 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:40,998 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:41,223 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:41,703 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:41,862 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:42,742 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:45,036 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:46,825 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:48,025 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:48,599 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:49,498 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:49,529 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:50,049 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:51,371 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:51,730 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:51,730 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:51,924 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:52,598 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:52,756 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:52,885 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:52,885 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:53,098 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:53,770 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:54,443 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:54,698 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:54,776 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:55,478 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:57,025 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:58,627 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:55:59,170 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:56:00,237 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:56:00,658 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:56:01,036 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:56:02,480 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:56:02,836 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:56:02,836 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:56:02,843 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:56:03,024 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:56:03,655 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:56:03,801 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:56:03,801 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:56:04,101 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:56:04,591 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:56:04,764 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 14:56:05,373 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
