[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-18 13:21:20,993 INFO ubc_evict: evicted 4772.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00001-of-00005.safetensors
2026-09-18 13:21:21,014 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00002-of-00005.safetensors
2026-09-18 13:21:21,036 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00003-of-00005.safetensors
2026-09-18 13:21:21,081 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00004-of-00005.safetensors
2026-09-18 13:21:21,093 INFO ubc_evict: evicted 1152.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00005-of-00005.safetensors
2026-09-18 13:21:21,093 INFO ubc_evict: pass complete total_mb=20612.0 elapsed_s=0.12
2026-09-18 13:21:21,693 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 13:21:21,694 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 13:21:21,733 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 13:21:24,218 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:24,794 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:24,794 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:24,800 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:25,051 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:25,051 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:25,051 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:25,796 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:25,798 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:26,027 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:26,137 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:26,360 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:26,900 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:27,381 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:28,753 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:29,078 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:29,139 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:29,471 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:30,251 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:30,697 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:31,828 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:33,214 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:33,214 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:33,217 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:33,540 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:33,624 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:33,624 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:33,842 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:33,906 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:34,013 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:34,619 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:34,860 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:34,907 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:35,217 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:36,013 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:36,091 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:36,888 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:37,565 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:37,596 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:37,763 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:40,062 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:40,062 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:40,296 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:40,296 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:40,296 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:40,299 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:40,532 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:40,952 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:41,052 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:41,145 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:41,228 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:42,374 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:42,588 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:21:42,994 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
