[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-18 13:24:09,240 INFO ubc_evict: evicted 4772.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00001-of-00005.safetensors
2026-09-18 13:24:09,260 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00002-of-00005.safetensors
2026-09-18 13:24:09,282 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00003-of-00005.safetensors
2026-09-18 13:24:09,328 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00004-of-00005.safetensors
2026-09-18 13:24:09,340 INFO ubc_evict: evicted 1152.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00005-of-00005.safetensors
2026-09-18 13:24:09,340 INFO ubc_evict: pass complete total_mb=20612.0 elapsed_s=0.12
2026-09-18 13:24:09,869 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 13:24:09,870 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 13:24:09,909 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 13:24:12,239 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:12,463 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:12,466 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:12,698 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:12,699 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:12,699 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:12,704 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:12,838 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:13,532 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:14,985 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:14,985 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:15,568 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:16,516 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:17,570 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:18,303 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:19,195 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:20,165 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:21,638 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:22,124 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:22,306 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:23,770 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:24,233 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:24,234 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:24,234 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:24,234 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:24,237 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:24,241 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:24,678 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:25,112 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:26,564 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:26,668 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:27,183 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:28,004 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:29,629 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:29,705 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:30,468 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:32,190 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:33,565 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:33,755 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:33,842 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:35,142 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:35,595 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:35,595 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:35,595 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:35,595 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:35,598 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:35,603 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:36,196 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:36,450 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:37,877 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:37,982 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:38,540 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:39,204 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:41,036 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:41,182 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:41,977 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:42,737 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:43,504 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:44,009 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:44,233 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:45,589 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:45,803 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:46,050 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:46,050 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:46,059 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:46,059 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:46,059 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:46,478 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:46,913 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:48,286 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:48,391 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:48,932 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:49,701 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:51,414 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:51,678 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:52,944 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:53,197 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:53,625 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:54,618 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:54,790 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:56,128 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:56,343 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:56,596 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:56,596 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:56,596 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:56,597 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:56,748 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:56,916 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:57,466 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:58,810 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:59,054 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:24:59,650 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:25:00,285 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:25:02,111 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:25:02,901 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:25:04,196 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:25:04,765 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:25:06,366 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:25:06,520 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:25:06,648 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:25:07,999 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:25:08,214 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:25:08,482 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:25:08,482 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:25:08,482 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
