[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-18 13:47:51,821 INFO ubc_evict: evicted 4784.0 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00001-of-00004.safetensors
2026-09-18 13:47:51,853 INFO ubc_evict: evicted 4785.1 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00002-of-00004.safetensors
2026-09-18 13:47:51,891 INFO ubc_evict: evicted 4769.9 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00003-of-00004.safetensors
2026-09-18 13:47:51,908 INFO ubc_evict: evicted 1846.3 MB from UBC for ~/mlx-models/Qwen3.8-27B-oQ4e-mtp/model-00004-of-00004.safetensors
2026-09-18 13:47:51,908 INFO ubc_evict: pass complete total_mb=16185.5 elapsed_s=0.10
2026-09-18 13:47:52,835 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 13:47:52,836 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 13:47:52,890 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 13:47:54,226 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:47:54,443 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:47:54,720 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:47:54,720 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:47:55,284 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:47:56,916 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:47:59,035 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:48:00,502 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:48:01,122 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:48:02,266 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:48:03,269 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:48:03,758 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:48:04,309 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:48:04,656 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:48:07,205 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
