[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
2026-09-18 13:16:08,248 INFO ubc_evict: evicted 4772.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00001-of-00005.safetensors
2026-09-18 13:16:08,270 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00002-of-00005.safetensors
2026-09-18 13:16:08,310 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00003-of-00005.safetensors
2026-09-18 13:16:08,353 INFO ubc_evict: evicted 4896.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00004-of-00005.safetensors
2026-09-18 13:16:08,365 INFO ubc_evict: evicted 1152.0 MB from UBC for ~/mlx-models/Qwen3.6-35B-A3B-uncensored-heretic-Native-MTP-Preserved-oQ4e-mtp/model-00005-of-00005.safetensors
2026-09-18 13:16:08,365 INFO ubc_evict: pass complete total_mb=20612.0 elapsed_s=0.14
2026-09-18 13:16:08,961 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 13:16:08,962 INFO "GET /health HTTP/1.1" 200 -
2026-09-18 13:16:09,003 INFO "GET /v1/status HTTP/1.1" 200 -
2026-09-18 13:16:10,071 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:16:10,164 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:16:10,201 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:16:10,282 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:16:10,412 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:16:10,986 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:16:11,292 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:16:11,334 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
2026-09-18 13:16:12,018 INFO "POST /v1/chat/completions HTTP/1.1" 200 -
